 Node     x       y        Phi      dPhidx     dPhidy    dPhidxx    dPhidyy     GposX     GposY
--------------------------------------------------------------------------------
   33 216.300  37.816   -0.00006   -0.00006    0.00033    0.00037    0.00070  200.55500   35.09550
   34 214.020  37.423    0.00019   -0.00016    0.00089   -0.00147    0.00188  200.55500   35.09550
   35 211.920  37.059   -0.00058   -0.00025    0.00161    0.00388    0.00327  200.55500   35.09550
   36 209.980  36.724    0.00167    0.00005   -0.00064   -0.01168   -0.00067  200.55500   35.09550
   37 208.190  36.414   -0.00466   -0.00038    0.00320    0.03280    0.00746  200.55500   35.09550
   38 206.530  36.129    0.01301    0.00128   -0.01112   -0.08895   -0.01043  200.55500   35.09550
   39 205.010  35.865   -0.03326   -0.00178    0.01274    0.24172    0.07405  200.55500   35.09550
   40 203.600  35.622    0.08803    0.00595   -0.03281   -0.62489   -0.10471  200.55500   35.09550
   41 202.300  35.398   -0.23780   -0.08715    0.33743    1.50821    0.44055  200.55500   35.09550
   42 201.110  35.191    0.78468    1.00016   -0.11618   -1.91717   -0.49426  200.55500   35.09550
   43 200.000  35.000    0.38497   -1.11483    0.98003    0.90974    0.22289  200.55500   35.09550
   44 199.940  33.880    0.00691    0.21410   -1.29955   -0.20345   -0.28329  200.55500   35.09550
   45 199.680  32.499   -0.00927   -0.06746    0.44957    0.09235    0.36756  200.55500   35.09550
   46 199.090  30.839    0.00147    0.01855   -0.11674   -0.02085   -0.11920  200.55500   35.09550
   47 197.960  28.948   -0.00136   -0.00339    0.02784    0.01170    0.01910  200.55500   35.09550
   48 196.000  27.002   -0.00011    0.00136   -0.00725    0.00002   -0.00819  200.55500   35.09550
   49 193.160  25.514    0.00006   -0.00035    0.00166   -0.00033    0.00117  200.55500   35.09550
   50 190.000  25.000   -0.00017    0.00026   -0.00047    0.00102   -0.00112  200.55500   35.09550
   51 184.900  25.000   -0.00020    0.00012    0.00046    0.00138    0.00091  200.55500   35.09550
   52 179.110  25.000   -0.00004    0.00001    0.00013    0.00028    0.00048  200.55500   35.09550
   53 172.540  25.000   -0.00003    0.00000    0.00017    0.00024    0.00049  200.55500   35.09550
   54 165.100  25.000    0.00001    0.00001   -0.00013   -0.00008   -0.00038  200.55500   35.09550
   55 156.650  25.000   -0.00006   -0.00002    0.00046    0.00042    0.00137  200.55500   35.09550
   71 152.170   0.000    0.00002    0.00001   -0.00020   -0.00018   -0.00062  200.55500   35.09550
   72 182.610   0.000    0.00008   -0.00004   -0.00025   -0.00057   -0.00059  200.55500   35.09550
   73 213.040   0.000   -0.00002    0.00001    0.00009    0.00014    0.00023  200.55500   35.09550
   74 243.480   0.000    0.00000    0.00001   -0.00008   -0.00003   -0.00023  200.55500   35.09550
  107 244.680  28.548    0.00001    0.00002   -0.00014   -0.00007   -0.00043  200.55500   35.09550
